problem,base_model_score,tuned_model_score
HumanEval_122_add_elements,14.0,14.0
HumanEval_12_longest,5.0,10.0
HumanEval_13_greatest_common_divisor,15.0,15.0
HumanEval_152_compare,14.0,14.0
HumanEval_153_Strongest_Extension,8.0,12.0
HumanEval_157_right_angle_triangle,15.0,11.0
HumanEval_21_rescale_to_unit,14.0,14.0
HumanEval_22_filter_integers,15.0,15.0
HumanEval_23_strlen,15.0,15.0
HumanEval_27_flip_case,12.0,11.0
HumanEval_28_concatenate,15.0,14.0
HumanEval_30_get_positive,14.0,15.0
HumanEval_31_is_prime,13.0,9.0
HumanEval_35_max_element,12.0,12.0
HumanEval_42_incr_list,14.0,15.0
HumanEval_45_triangle_area,15.0,15.0
HumanEval_46_fib4,14.0,13.0
HumanEval_48_is_palindrome,13.0,13.0
HumanEval_4_mean_absolute_deviation,14.0,15.0
HumanEval_51_remove_vowels,14.0,12.0
HumanEval_52_below_threshold,15.0,12.0
HumanEval_53_add,15.0,15.0
HumanEval_59_largest_prime_factor,14.0,14.0
HumanEval_5_intersperse,14.0,14.0
HumanEval_60_sum_to_n,15.0,14.0
HumanEval_63_fibfib,14.0,14.0
HumanEval_66_digitSum,14.0,15.0
HumanEval_72_will_it_fly,11.0,10.0
HumanEval_79_decimal_to_binary,14.0,13.0
HumanEval_7_filter_by_substring,15.0,15.0
HumanEval_82_prime_length,13.0,8.0
HumanEval_8_sum_product,10.0,8.0
HumanEval_9_rolling_max,14.0,6.0
total,443.0,422.0
